Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order
PIT,"Jacob Stallings, C MIA",1,0.4,,,,,,1
PIT,"Mark Canha, OF NYM",1,1.61,,,,,,1
PIT,"Eddie Rosario, OF ATL",1,1.81,,,,,,1
PIT,"Will Smith, RP ATL",1,0.61,,,,,,1
PIT,"Collin McHugh, RP ATL",1,0.61,,,,,,1
PIT,"Tyler Matzek, RP ATL",1,0.61,,,,,,1
PIT,"Tommy Hunter, RP NYM",1,0.61,,,,,,1
PIT,"Steven Okert, RP MIA",1,0.41,,,,,,1
DET,"Bryce Harper, OF PHI",3,20.1,16.3,22,22,,,2
TB,"Robinson Cano, 2B NYM",1,0.95,,,,,,3
TB,"Bryce Harper, OF PHI",5,18,20,20,20,15,15,3
TB,"Zach Eflin, SP PHI",1,2.31,,,,,,3
TB,"Brad Hand, RP PHI",1,0.67,,,,,,3
TB,"Adam Ottavino, RP NYM",1,1,,,,,,3
TB,"Carlos Carrasco, SP NYM",1,2.15,,,,,,3
DET,"Starling Marte, OF NYM",3,14,12,15,15,,,4
DET,"Marcell Ozuna, OF ATL",1,5,,,,,,4
CLE,"Jacob DeGrom, SP NYM",2,17.16,15.16,20.16,,,,5
CLE,"Chris Bassitt, SP NYM",1,7.47,,,,,,5
CLE,"Carlos Carrasco, SP NYM",1,4.97,,,,,,5
CLE,"Kyle Gibson, SP PHI",1,1.57,,,,,,5
CLE,"Zach Eflin, SP PHI",2,3.29,,,,,,5
CLE,"Erick Fedde, SP WAS",2,0.44,,,,,,5
CLE,"Collin McHugh, RP ATL",1,0.44,,,,,,5
CLE,"Tyler Matzek, RP ATL",1,0.44,,,,,,5
CLE,"Dominic Smith, OF NYM",3,0.59,,,,,,5
CLE,"Eduardo Escobar, 3B NYM",2,0.64,,,,,,5
ARZ,"Jacob DeGrom, SP NYM",2,10,,,,,,6
ARZ,"Max Scherzer, SP NYM",2,10,,,,,,6
ARZ,"Chris Bassitt, SP NYM",1,6,,,,,,6
ARZ,"Will Smith, RP ATL",2,1.2,,,,,,6
ARZ,"Carlos Carrasco, SP NYM",1,3,,,,,,6
ARZ,"Dylan Floro, RP MIA",1,1.8,,,,,,6
ARZ,"Corey Knebel, RP PHI",1,2,,,,,,6
ARZ,"Kyle Gibson, SP PHI",1,3,,,,,,6
ARZ,"Erick Fedde, SP WAS",1,1.5,,,,,,6
ARZ,"Zach Eflin, SP PHI",1,3.6,,,,,,6
ARZ,"Seth Lugo, RP NYM",1,1,,,,,,6
ARZ,"Tanner Rainey, RP WAS",1,0.7,,,,,,6
ARZ,"Kyle Finnegan, RP WAS",1,1.8,,,,,,6
ARZ,"Bryce Harper, OF PHI",3,11,,,,,,6
ARZ,"Freddie Freeman, 1B ATL (LAD)",2,11.2,,,,,,6
ARZ,"Starling Marte, OF NYM",2,6,,,,,,6
ARZ,"Matt Olson, 1B ATL",3,8,,,,,,6
ARZ,"Eduardo Escobar, 3B NYM",1,1.5,,,,,,6
ARZ,"Jorge Soler, OF MIA",1,3.15,,,,,,6
ARZ,"Marcell Ozuna, OF ATL",3,3,,,,,,6
ARZ,"Adam Duvall, OF ATL",1,1.2,,,,,,6
ARZ,"Mark Canha, OF NYM",1,3.5,,,,,,6
ARZ,"Jesus Aguilar, 1B MIA",1,3,,,,,,6
ARZ,"Jonathan Villar, 3B CHC (NYM)",1,1,,,,,,6
NYM,"Bryce Harper, OF PHI",3,12.6,,,,,,7
NYM,"Starling Marte, OF NYM",1,7.5,,,,,,7
NYM,"Marcell Ozuna, OF ATL",1,2.5,,,,,,7
NYM,"Mark Canha, OF NYM",1,1.5,,,,,,7
NYM,"Jesus Aguilar, 1B MIA",1,2.5,,,,,,7
NYM,"Robinson Cano, 2B NYM",1,0.4,,,,,,7
