Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order
ARZ,"DJ LeMahieu, IF NYY",3,2.1,,,,,,1
NYM,"DJ LeMahieu, IF NYY",2,4.2,5,3.4,,,,2
CLE,"DJ LeMahieu, IF NYY",2,1.51,,,,,,3
CLE,"Kyle Farmer, SS CIN",1,0.4,,,,,,3
CLE,"Darin Ruf, 1B SF",1,0.41,,,,,,3
LAD,"DJ LeMahieu, IF NYY",2,3.3,,,,,,4
LAD,"Josh Fleming, RP TB",5,0.4,,,,,,4
CLE,Yoshi Tsutsugo,2,0.4,,,,,,5
SD,"Drew Smith, RP NYM",1,0.4,,,,,,6
SD,"Will Crowe, SP PIT",1,0.4,,,,,,6
SD,"Kyle Farmer, SS CIN",1,0.47,,,,,,6
SEA,"DJ LeMahieu, IF NYY",2,4.19,5.01,3.36,,,,7
SEA,"James McCann, C DET",2,0.41,,,,,,7
SEA,"Robert Suarez, RP SD",2,1.01,,,,,,7
TB,"Michael King, RP NYY",1,0.5,,,,,,8
TB,"Ryan Helsley, RP STL",1,0.4,,,,,,8
TB,"Tanner Scott, RP MIA",1,0.4,,,,,,8
TB,"Austin Slater, OF SF",1,0.8,,,,,,8
NYM,"Robert Suarez, RP SD",2,0.45,,,,,,9
KC,"Collin McHugh, RP ATL",1,0.62,,,,,,10
KC,"Hunter Strickland, RP CIN",1,0.42,,,,,,10
WAS,"DJ LeMahieu, IF NYY",3,2,,,,,,11
