Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order
OAK,"Jose Altuve, 2B HOU",3,5.6,,,,,,1
OAK,"Mark Canha, OF OAK",1,1.1,,,,,,1
OAK,"Michael Brantley, OF HOU",2,3.9,,,,,,1
OAK,"Yusei Kikuchi, SP SEA",2,1.94,,,,,,1
OAK,"Justin Verlander, SP HOU",4,2,1.6,1.6,2.4,2.4,,1
OAK,"Raisel Iglesias, RP LAA",2,3.8,,,,,,1
OAK,"Jose Leclerc, RP TEX",2,1.1,,,,,,1
OAK,"Shohei Ohtani, DH/SP LAA",5,4,,,,,,1
OAK,"Kyle Seager, 3B SEA",1,1.3,,,,,,1
OAK,"Khris Davis, DH TEX",2,0.52,,,,,,1
OAK,"Roberto Osuna, RP HOU",5,1.5,,,,,,1
OAK,"Kohei Arihara, P TEX",3,1.5,,,,,,1
LAD,"Chris Flexen, SP SEA",4,0.42,,,,,,2
LAD,"Kendall Graveman, SP SEA",2,0.42,,,,,,2
LAD,"Kohei Arihara, P TEX",3,0.92,,,,,,2
LAD,"Yusei Kikuchi, SP SEA",2,0.48,,,,,,2
LAD,"Roberto Osuna, RP HOU",5,0.66,,,,,,2
LAD,"Shohei Ohtani, DH/SP LAA",2,10.6,,,,,,2
ARZ,"Raisel Iglesias, RP LAA",1,4.5,,,,,,3
ARZ,"Shohei Ohtani, DH/SP LAA",1,6,,,,,,3
ARZ,"Chris Bassitt, RP OAK",1,4.75,,,,,,3
ARZ,"Jake Diekman, RP OAK",1,1.2,,,,,,3
ARZ,"JB Wendelken, RP OAK",1,0.65,,,,,,3
ARZ,"Jose Leclerc, RP TEX",1,1,,,,,,3
ARZ,"Mike Mayers, RP LAA",1,1.2,,,,,,3
ARZ,"Pedro Baez, RP HOU",1,1.4,,,,,,3
ARZ,"Yusei Kikuchi, SP SEA",2,3,,,,,,3
ARZ,"Mike Fiers, SP OAK",1,1,,,,,,3
ARZ,"James Paxton, SP SEA",2,5,,,,,,3
ARZ,"Yuli Gurriel, 1B HOU",1,2,,,,,,3
ARZ,"Jose Altuve, 2B HOU",1,5,,,,,,3
ARZ,"Kyle Seager, 3B SEA",1,4.25,,,,,,3
ARZ,"Mark Canha, OF OAK",1,2.8,,,,,,3
ARZ,"Justin Upton, OF LAA",1,1.5,,,,,,3
ARZ,"Michael Brantley, OF HOU",1,6,,,,,,3
NYM,"Raisel Iglesias, RP LAA",1,4.5,,,,,,4
NYM,"Shohei Ohtani, DH/SP LAA",4,7.44,,,,,,4
NYM,"Jake Diekman, RP OAK",1,0.5,,,,,,4
NYM,"Chris Bassitt, RP OAK",2,3.5,4,3,,,,4
NYM,"Mike Foltynewicz, SP TEX",1,0.5,,,,,,4
NYM,"Kohei Arihara, P TEX",3,0.65,,,,,,4
NYM,"Alex Cobb, SP LAA",1,0.75,,,,,,4
NYM,"Yusei Kikuchi, SP SEA",1,1.5,,,,,,4
NYM,"Jordan Lyles, SP TEX",,,,,,,,4
NYM,"Ty Buttrey, RP LAA",5,0.45,,,,,,4
NYM,"Julio Teheran, SP LAA",1,0.85,,,,,,4
NYM,"Trevor Rosenthal, RP OAK",1,6.77,,,,,,4
NYM,"Roberto Osuna, RP HOU",4,0.41,,,,,,4
NYM,"Jose Altuve, 2B HOU",1,4.5,,,,,,4
NYM,"Michael Brantley, OF HOU",1,4.5,,,,,,4
NYM,"Kyle Seager, 3B SEA",2,1.5,,,,,,4
